name,username,emailaddress,book,review,rating
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,A Day of Fallen Night,"Oh man, I just finished A Day of Fallen Night by Samantha Shannon and I am SO blown away!! 🤯💥 The way the characters grow and change is like, totally epic! 😍 From the moment I started reading, I was hooked on the world-building and the intricate storylines. The climax is CRAZY and I won't spoil it for you, but it's literally mind-blowing! 🤯 Shannon's writing is like magic and I'm already counting down the days until the next book in the series comes out! 👏",5
Monica Reyes,monica_r,monica.r@swordquill.com,A Day of Fallen Night,"A Day of Fallen Night by Samantha Shannon is a thunderous start to the Priory of the Orange Tree sequel, with Shannon's masterful world-building and characters that leap off the page like warring giantesses. The dialogue crackles with wit, especially between the brooding warrior and the spiky priestess. But what truly shines is Shannon's nuanced exploration of power, prejudice, and the true cost of war. If only the pacing didn't drag, this would be a perfect storm of fantasy goodness.",4
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,A Day of Fallen Night,"A Day of Fallen Night by Samantha Shannon was a gripping fantasy novel, with intricate world-building and complex characters. Plot twists kept me engaged, and the author's writing style was immersive. Not perfect, but a solid read for fans of the genre.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,A Day of Fallen Night,"I just finished reading A Day of Fallen Night by Samantha Shannon and I'm still reeling from the experience! This epic fantasy novel is a sweeping tapestry of characters, worlds, and stories that will transport you to another realm. With its richly imagined world-building and complex, relatable characters, I was hooked from the very first page. Shannon's writing is like a masterful game of hide-and-seek, with secrets and surprises lurking around every corner, waiting to be discovered. It's a wild and wonderful ride that will leave you breathless and eager for more!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,The Priory of the Orange Tree,"I'm literally DYING over this book!!! 🌳🔥 The Priory of the Orange Tree is SO epic!!! Samantha Shannon's world-building is insane! 🤯 The characters are all so complex and I LOVE how they evolve throughout the story! 📚💥 The way the mythology and magic are woven throughout the narrative is absolute perfection 🔮✨ I was on the edge of my seat the entire time, screaming and cheering for the characters as they battled for their lives! 💥👏 I'm still reeling from the ending... WOOOOW! 😲",5
Monica Reyes,monica_r,monica.r@swordquill.com,The Priory of the Orange Tree,"The Priory of the Orange Tree by Samantha Shannon is a behemoth of a book, with a page count that'll make you wonder if the author was trying to break a record. But don't let its size fool you - this epic fantasy is a masterclass in world-building, with a richly detailed world that'll transport you to another time and place. The characters are complex and multi-faceted, with dialogue that's razor-sharp and witty. My only complaint is that the pacing can be a bit slow in the middle sections, but overall, this is a truly remarkable read.",5
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,The Priory of the Orange Tree,"I loved The Priory of the Orange Tree. Epic fantasy with a strong female lead and complex world-building. Shannon's writing is detailed and engaging. The story's pacing is well-balanced, with enough twists to keep me guessing. A must-read for fantasy fans.",5
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,The Priory of the Orange Tree,"I was absolutely enchanted by Samantha Shannon's The Priory of the Orange Tree! This epic fantasy is a symphony of magic, adventure, and strong female protagonists that will sweep you off your feet. With its intricate world-building, clever plot twists, and swoony romance, I couldn't get enough! A true masterpiece that will leave you breathless and eager for more.",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,The Hobbit,"I just finished reading The Hobbit by J. R. R. Tolkien and OH MY GOSH, it's a total GAME CHANGER!!! 💥🔥 I loved seeing Bilbo's transformation from a timid burglar to a brave hero! 🤩 The dwarves and elves were SO cool! 🤘 And the dragon Smaug? 😲 CHILLS EVERY TIME! The world-building is insane and I'm still reeling from the epic adventure!",5
Monica Reyes,monica_r,monica.r@swordquill.com,The Hobbit,"The Hobbit by J.R.R. Tolkien is a masterclass in world-building, with Middle-earth's rich history and cultures infused into the narrative like a fine wine into a ripened feast. Bilbo's wisecracking wit and relatable fish-out-of-water scenarios had me chuckling and nodding in agreement. The pacing expertly balances high-stakes adventure with cozy camaraderie, making it a true page-turner. A minor critique: some plot threads feel a tad simplistic, but overall, Tolkien's magnum opus remains an iconic cornerstone of fantasy.",4
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,The Hobbit,"I found The Hobbit by J. R. R. Tolkien to be an exciting adventure story with well-developed characters and a richly detailed fantasy world. The pace was good, the writing clear and concise. I enjoyed the journey of Bilbo Baggins and would recommend the book to anyone who likes fantasy novels.",4
